seite;speerName;produkt;quelle;kartenname
621;Vorwerk & Sohn;"Vollgummireifen für Geschütze und Spezialfahrzeuge der Wehrmacht, der Rüstungsindustrie und der Reichsbahn, Laufräder und Bandagen für Gleiskettenfahrzeuge, Heftpflaster, Altgummiaufbereitung, Isolierband, Schläuche, Konservenringe, Gummiabsätze u. a., Entwicklungsarbeiten im Auftrag des Reichsluftfahrtministerium zur Herstellung von Zellenkautschuk; im Auftrag des OKH zur Neukonstruktion von Gleiskettenpolstern für Panzer sowie zur Herstellung verschiedener Artikel für den Gasschutz";Archiv Vorwerk & Sohn;Vorwerk & Sohn
621;Wagner & Co.;Isolier-, Kabel- und Asphaltbänder u. op. Gewebe (Notprogramm, Geilenberg-Programm);RWWA 22-349-6;Wagner & Co.
621;Fritz Weeren;Flügelschäfte für 8 cm Wgr. 34;RWWA 22-28-10;Fritz Weeren
621;Wesenfeld, Dicke & Co.;Chem. Betrieb: Wolfram-Produkte, panzerbrechende Munition, Hartmetallwerkzeuge Metallhütte-Betrieb: Lagerweißmetalle sowie Spezial-Lagermetalle;RWWA 22-349-6;
621;Gebrüder Westip, Riemendreherei;"Wehrmachtsbedarf; lebenswichtiger und Medizinal-Bedarf";RWWA 22-349-6;
621;Paul Wever Inh. Hans Ziller ;"Flakaktion; Förderbandreparatur (Bergbau im Notprogramm); Geilenbergprogramm; ";RWWA 22-349-6;
621;Eduard Wille;U-Bootteile, Panzerteile, Zulieferteile für Focke-Wulf;;
621;Gebr. Winkelsträter;Abwurfgeräte, Anwärmgeräte für die Luftwaffe, Ventilatoren;RWWA 22-28-12;Gebr. Winkelsträter (auch: Winkelsträter & Sure)
621;Hugo Wippermann Wuppertaler Dampfziegelei;Mauersteine und Dachziegel für OT, Rüstungsbetriebe, Bunkerbau und für das Amt für Sofortmaßnahmen der Stadt Wuppertal;RWWA 22-349-6;Hugo Wippermann
621;Witte & Co.;"Apparate für Flakmunition; Teile für Horch-, Sende- und Empfangsgeräte; Teile für Munition; Metallteile für Flugzeugbau; Aggregate für Fallschirmherstellung; Ventilteile für Pneumatik; sonstiges Wehrmachtsgerät";RWWA 22-349-6;Witte & Co.
621;Wörder & Pandel;"Niet- und Bankhämmer für Flugzeug-, Munitions- und Fahrzeugfabriken; Pionier-Schanzzeuge (Hacken, Axte, Beile); Axte, Beile und Rindenschäler für die Forst- und Landwirtschaft";RWWA 22-349-6;Wörder & Pandel
621;Hermann Wülfing „Wings-Lackfabrik“;Anstrichmittel und Metallschutzstoffe für Waffen, Minen, Flak, Panzerwagen, L K W, Generatoren, Schiffsbauprogramm;RWWA 22-349-6;Hermann Wülfing
621;Robert Zinn, Engels & Co.;Infanterie-Munition und Pistolen, Geschosse 7,5 cm Gr. 38 Walzwerk: Zündhütchenmaterial für Panzer, Flakaktion Metallwarenfabrik: Zulieferungen für Infanteriemunition (Geschoßnäpfchen, Infanteriegranaten), für Panzer, für Zkw, für LKW, für Flugzeuge, für Gewaltaktion 162, Flakaktion;RWWA 22-28-10, RWWA 22-28-12, RWWA 22-349-6;Robert Zinn, Engels & Co.
